Estado,Fila,Columna,Fase,Batería,V aleatoria,V determinista,V greedy
"(0, 0, 'en_camino', 1)",0.0,0.0,en_camino,1,-97.4193548387097,-99.55801104972376,-75.17241379310089
"(0, 0, 'en_camino', 2)",0.0,0.0,en_camino,2,-92.15220770545088,-95.16254082598212,-63.678160919535095
"(0, 0, 'en_camino', 3)",0.0,0.0,en_camino,3,-87.46173815466571,-91.05374754141877,-51.59763509044031
"(0, 0, 'en_camino', 4)",0.0,0.0,en_camino,4,-83.24856293408628,-87.1650105307116,-45.0147944465307
"(0, 0, 'en_camino', 5)",0.0,0.0,en_camino,5,-78.95255857713742,-30.620614560716298,-22.462767676554616
"(0, 0, 'en_camino', 6)",0.0,0.0,en_camino,6,-74.94542978194829,-27.148375433987578,-4.441699295517058
"(0, 0, 'en_camino', 7)",0.0,0.0,en_camino,7,-71.02875655838002,-4.527525233579868,10.634769803539168
"(0, 0, 'en_camino', 8)",0.0,0.0,en_camino,8,-67.31715529911703,39.46258392159256,30.335357796909474
"(0, 0, 'en_camino', 9)",0.0,0.0,en_camino,9,-63.76255980867782,46.757895996382764,35.26027691128683
"(0, 0, 'en_camino', 10)",0.0,0.0,en_camino,10,-60.390750789138565,77.13057698165501,46.90226901197187
"(0, 0, 'regresando', 1)",0.0,0.0,regresando,1,-97.4193548387097,-99.55801104972376,-75.17241379310089
"(0, 0, 'regresando', 2)",0.0,0.0,regresando,2,-92.15220770545088,-95.20893745612162,-63.678160919535095
"(0, 0, 'regresando', 3)",0.0,0.0,regresando,3,-87.46173815466571,-91.44408290345228,-51.59763509044031
"(0, 0, 'regresando', 4)",0.0,0.0,regresando,4,-80.59791762529682,-5.345672061562218,-7.739163694002483
"(0, 0, 'regresando', 5)",0.0,0.0,regresando,5,-74.30671133522834,-4.154286238434361,-5.51856006125884
"(0, 0, 'regresando', 6)",0.0,0.0,regresando,6,-67.9784667306869,24.47548714572534,10.864162782342836
"(0, 0, 'regresando', 7)",0.0,0.0,regresando,7,-62.18524595732865,24.81690750334655,11.421695875295153
"(0, 0, 'regresando', 8)",0.0,0.0,regresando,8,-56.77434548793198,33.08467023249712,16.066389286869317
"(0, 0, 'regresando', 9)",0.0,0.0,regresando,9,-51.837338335904334,33.180862312682905,16.215909364941204
"(0, 0, 'regresando', 10)",0.0,0.0,regresando,10,-47.31248964396123,35.51341140066675,17.486380307454517
"(0, 1, 'en_camino', 1)",0.0,1.0,en_camino,1,-99.01234567901236,-99.55801104972376,-86.66666666666664
"(0, 1, 'en_camino', 2)",0.0,1.0,en_camino,2,-93.99304787330809,-95.20893745612162,-68.22796934865643
